abilities,detailPageURL,weight,weakness,height,collectibles_slug,featured,name,ThumbnailAltText,ThumbnailImage,slug,type
Overgrow,/us/pokedex/bulbasaur,15.2,Fire,28,bulbasaur,true,Bulbasaur,Bulbasaur,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/001.png,bulbasaur,grass
Overgrow,/us/pokedex/ivysaur,28.7,Fire,39,ivysaur,true,Ivysaur,Ivysaur,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/002.png,ivysaur,grass
Thick Fat,/us/pokedex/venusaur,342.8,Fire,94,venusaur,true,Venusaur,Venusaur,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/003.png,venusaur,grass
Overgrow,/us/pokedex/venusaur,220.5,Fire,79,venusaur,true,Venusaur,Venusaur,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/003.png,venusaur,grass
Blaze,/us/pokedex/charmander,18.7,Ground,24,charmander,true,Charmander,Charmander,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/004.png,charmander,fire
Blaze,/us/pokedex/charmeleon,41.9,Ground,43,charmeleon,true,Charmeleon,Charmeleon,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/005.png,charmeleon,fire
Drought,/us/pokedex/charizard,221.6,Water,67,charizard,true,Charizard,Charizard,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/006.png,charizard,fire
Tough Claws,/us/pokedex/charizard,243.6,Dragon,67,charizard,true,Charizard,Charizard,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/006.png,charizard,fire
Blaze,/us/pokedex/charizard,199.5,Rock,67,charizard,true,Charizard,Charizard,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/006.png,charizard,fire
Torrent,/us/pokedex/squirtle,19.8,Electric,20,squirtle,true,Squirtle,Squirtle,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/007.png,squirtle,water
Torrent,/us/pokedex/wartortle,49.6,Electric,39,wartortle,true,Wartortle,Wartortle,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/008.png,wartortle,water
Mega Launcher,/us/pokedex/blastoise,222.9,Grass,63,blastoise,true,Blastoise,Blastoise,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/009.png,blastoise,water
Torrent,/us/pokedex/blastoise,188.5,Electric,63,blastoise,true,Blastoise,Blastoise,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/009.png,blastoise,water
Shield Dust,/us/pokedex/caterpie,6.4,Fire,12,caterpie,true,Caterpie,Caterpie,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/010.png,caterpie,bug
Shed Skin,/us/pokedex/metapod,21.8,Fire,28,metapod,true,Metapod,Metapod,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/011.png,metapod,bug
Compound Eyes,/us/pokedex/butterfree,70.5,Rock,43,butterfree,true,Butterfree,Butterfree,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/012.png,butterfree,bug
Shield Dust,/us/pokedex/weedle,7.1,Fire,12,weedle,true,Weedle,Weedle,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/013.png,weedle,bug
Shed Skin,/us/pokedex/kakuna,22,Fire,24,kakuna,true,Kakuna,Kakuna,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/014.png,kakuna,bug
Adaptability,/us/pokedex/beedrill,89.3,Fire,55,beedrill,true,Beedrill,Beedrill,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/015.png,beedrill,bug
Swarm,/us/pokedex/beedrill,65,Fire,39,beedrill,true,Beedrill,Beedrill,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/015.png,beedrill,bug
Keen Eye,/us/pokedex/pidgey,4,Electric,12,pidgey,true,Pidgey,Pidgey,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/016.png,pidgey,normal
Keen Eye,/us/pokedex/pidgeotto,66.1,Electric,43,pidgeotto,true,Pidgeotto,Pidgeotto,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/017.png,pidgeotto,normal
No Guard,/us/pokedex/pidgeot,111.3,Ice,87,pidgeot,true,Pidgeot,Pidgeot,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/018.png,pidgeot,normal
Keen Eye,/us/pokedex/pidgeot,87.1,Electric,59,pidgeot,true,Pidgeot,Pidgeot,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/018.png,pidgeot,normal
Guts,/us/pokedex/rattata,7.7,Fighting,12,rattata,true,Rattata,Rattata,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/019.png,rattata,normal
Guts,/us/pokedex/raticate,40.8,Fighting,28,raticate,true,Raticate,Raticate,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/020.png,raticate,normal
Keen Eye,/us/pokedex/spearow,4.4,Electric,12,spearow,true,Spearow,Spearow,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/021.png,spearow,normal
Keen Eye,/us/pokedex/fearow,83.8,Electric,47,fearow,true,Fearow,Fearow,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/022.png,fearow,normal
Intimidate,/us/pokedex/ekans,15.2,Ground,79,ekans,true,Ekans,Ekans,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/023.png,ekans,poison
Intimidate,/us/pokedex/arbok,143.3,Ground,138,arbok,true,Arbok,Arbok,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/024.png,arbok,poison
Static,/us/pokedex/pikachu,13.2,Ground,16,pikachu,true,Pikachu,Pikachu,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/025.png,pikachu,electric
Static,/us/pokedex/raichu,66.1,Ground,31,raichu,true,Raichu,Raichu,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/026.png,raichu,electric
Sand Veil,/us/pokedex/sandshrew,26.5,Grass,24,sandshrew,true,Sandshrew,Sandshrew,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/027.png,sandshrew,ground
Sand Veil,/us/pokedex/sandslash,65,Grass,39,sandslash,true,Sandslash,Sandslash,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/028.png,sandslash,ground
Poison Point,/us/pokedex/nidoran-female,15.4,Ground,16,nidoran-female,true,Nidoran♀,Nidoran♀,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/029.png,nidoran-female,poison
